,index,category,answer,question
4887,8923,state capitals,it's where you'll find the robert c. byrd u.s. courthouse,Charleston
4888,9025,where is it?,the deepest lake in the world (the country),Russia
4889,9026,where is it?,"gondor, rivendell (a literary world)",Middle-earth
4890,9027,where is it?,angkor thom (the country),Cambodia
4891,9028,where is it?,the renal pelvis (anatomically),kidney
4892,9029,where is it?,valhalla (in mythology),Asgard
4893,9053,landmarks,"teddy roosevelt laid the cornerstone of roosevelt arch, at the north entrance of this national park",Yellowstone
4894,9054,landmarks,frank gehry designed the guggenheim museum in bilbao in this country,Spain
4895,9055,landmarks,a gilt statue of this fire-stealer is at the heart of rockefeller center,Prometheus
4896,9056,landmarks,austrian architect alfred preis designed the memorial over this wwii battleship,the Arizona
4897,9319,countries by college,"mcgill university, university of regina",Canada
4898,9320,countries by college,"universita degli studi di siena, politechnico di bari",Italy
4899,9321,countries by college,"politechnika krakowska, politechnika wroclawska",Poland
4900,9322,countries by college,"university of wollongong, southern cross university",Australia
4901,9323,countries by college,"pondicherry engineering college, gajra raja medical college",India
4902,9706,countries' highest points,mount meron in galilee,Israel
4903,9707,countries' highest points,mount ararat,Turkey
4904,9708,countries' highest points,"ras dashen, the fourth-highest mountain in africa",Ethiopia
4905,9709,countries' highest points,pico bolivar in merida,Venezuela
4906,9710,countries' highest points,moldoveanu,Romania
4907,9912,geography,it's the larger of the 2 countries that occupy the iberian peninsula,Spain
4908,9913,geography,this peninsula that accounts for most of denmark's land area shares a 42-mile-long border with germany,Jutland
4909,9914,geography,hundreds of waterfalls make up the spectacular iguacu falls on the border of these 2 countries,Brazil & Argentina
4910,9915,geography,"st. john, new brunswick lies on this bay that's noted for its high tides",the Bay of Fundy
4911,10039,state superlatives,a valley at 282 feet below sea level in this state is the lowest point in the western hemisphere,California
4912,10040,state superlatives,"with 6,640 miles of coast, this state has the longest shoreline",Alaska
4913,10041,state superlatives,"it pumps more than one million barrels of oil a day, more than any other state",Texas
4914,10042,state superlatives,"considered the healthiest state in 2006, it's also home to the mayo clinic",Minnesota
4915,10043,state superlatives,its boeing manufacturing plant in everett is the world's largest building by volume,Washington
4916,10349,capital punishment,in southeastern europe: sarajevo,Bosnia-Herzegovina
4917,10350,capital punishment,a former soviet republic: yerevan,Armenia
4918,10351,capital punishment,on the persian gulf: doha,Qatar
4919,10352,capital punishment,in africa: harare,Zimbabwe
4920,10353,capital punishment,in central america: tegucigalpa,Honduras
4921,10369,bodies of water,this sea hundreds of miles east of florida has no land boundaries,the Sargasso Sea
4922,10471,state flags,this monument is mentioned by name (but not depicted) on south dakota's state flag,Mt. Rushmore
4923,10472,state flags,"yes, honey, one of these structures appears below the word ""industry"" on utah's state flag",a beehive
4924,10473,state flags,you'll find a seminole woman scattering flowers on this state's flag,Florida
4925,10761,state birds,"the common loon lives on the water, so it's not surprising that it's the state bird of this ""land of 10,000 lakes\""",Minnesota
4926,10762,state birds,the male of this state bird of indiana is one of the few all-red birds in north america,the cardinal
4927,10763,state birds,"darwin made a famous study of these birds, but not the purple species, new hampshire's state bird",a finch
4928,10764,state birds,in 1933 the tennessee ornithological society conducted a vote to select a state bird; this mimic barely won,a mockingbird
4929,10765,state birds,"until mating season, this california state bird lives in coveys of up to 200 birds",a quail
4930,10830,"where ya from, congressman?",erstwhile presidential candidate al gore,Tennessee
4931,10831,"where ya from, congressman?",john quincy adams after the presidency,Massachusetts
4932,10832,"where ya from, congressman?",speaker of the house newt gingrich,Georgia
4933,10833,"where ya from, congressman?",dick cheney,Wyoming
4934,10834,"where ya from, congressman?",2006 house majority leader john boehner,Ohio
4935,10885,where the streets have some name,"in waukesha, wisconsin you can actually live on this, a 2-word phrase for a life of comfort & security",Easy Street
4936,10886,where the streets have some name,swing down to the intersection of count & basie in this capital of virginia,Richmond
4937,10887,where the streets have some name,"you can clean up on dirty ankle road in lawndale, located in this ""tar heel state\""",North Carolina
4938,10888,where the streets have some name,"traverse to traverse city, mich. & go nuts a la anthony perkins, for you'll find this ""path"" there",Psycho
4939,10889,where the streets have some name,"fittingly, bakersfield, calif. has car dealers on this alley that's also the name of a comic strip",Gasoline Alley
4940,10993,state populations,"between july 2005 & july 2006, this state gained nearly 580,000 people, more than any other state",Texas
4941,11106,states of mind,"in vintage psychology talk, anxiety is a type of neurosis; schizophrenia is a type of this -osis",psychosis
4942,11107,states of mind,"when i snap my fingers, you will awake & name this; ericksonian is one type",hypnosis
4943,11108,states of mind,"this type of ""episode"" is the more talkative phase in bipolar disorder",manic
4944,11109,states of mind,tremens is one type of this confused state,delirium
4945,11223,capitals of the west indies,a narrow peninsula called the palisados protects this jamaican port from the caribbean sea,Kingston
4946,11224,capitals of the west indies,from 1936 to 1961 this capital was called ciudad trujillo after dictator rafael trujillo,Santo Domingo
4947,11225,capitals of the west indies,this bahamian capital took its name from the family name of king william iii of england,Nassau
4948,11226,capitals of the west indies,"a 1634 spanish decree declared it the ""key to the new world and the bulwark of the west indies\""",Havana
4949,11227,capitals of the west indies,"while in oranjestad, capital of this dutch island, you can book a tour aboard the atlantis submarine",Aruba
4950,11316,country time,hand-rolled cohiba & montecristo cigars originated in this country,Cuba
4951,11317,country time,it's the only scandinavian nation that borders only one other country (germany),Denmark
4952,11318,country time,"the name of this mediterranean country comes from an ancient greek word for ""calf"" (as in cow, not leg)",Italy
4953,11319,country time,popular newspapers in this western hemisphere nation include the isthmian & the bocas breeze,Panama
4954,11320,country time,hutus & tutsis predominate in these 2 neighboring countries once part of german east africa,Rwanda & Burundi
4955,11552,where there's a william,legend says austrian autocrat gessler got the point from this swiss archer around 1300,William Tell
4956,11553,where there's a william,the virginia city settled in 1633 as middle plantation was renamed this in 1699,Williamsburg
4957,11554,where there's a william,william cohen held this post in bill clinton's cabinet,Secretary of Defense
4958,11555,where there's a william,3-word location where the exxon valdez spilled more than 10 million gallons of north slope crude in 1989,Prince William Sound
4959,11556,where there's a william,"number of the william who was england's ""sailor king"" from 1830 to 1837",IV
4960,11675,continental drifting,villarica & cotopaxi are volcanoes found on this continent,South America
4961,11676,continental drifting,"of 20, 30 or 50%, the percentage of the earth's land asia occupies as the world's largest continent",30%
4962,11677,continental drifting,the equator stretches across more land mass on this continent than any other,Africa
4963,11678,continental drifting,it's also the sixth-largest country in area,Australia
4964,11808,states' most populous cities,"jackson, pop. 180,000",Mississippi
4965,11809,states' most populous cities,"louisville, pop. 556,000",Kentucky
4966,11810,states' most populous cities,"bridgeport, pop. 140,000",Connecticut
4967,11811,states' most populous cities,"manchester, pop. 110,000",New Hampshire
4968,11812,states' most populous cities,"burlington pop. 39,000",Vermont
4969,11966,where's that?,"upon its 1914 completion, this shortened a ship's voyage between nyc & san francisco by about 8,000 miles",the Panama Canal
4970,11967,where's that?,"looking like it's going to get the boot & covering nearly 10,000 sq. miles, it's the largest island in the mediterranean",Sicily
4971,11968,where's that?,take me to your lemur!  this island country lies about 240 miles east of the african mainland,Madagascar
4972,12084,state capitals,in 1821 mississippi named its capital for this hero of the war of 1812; he didn't become president until 8 years later,(Andrew) Jackson
4973,12085,state capitals,"when kansas became a state in 1861, this city became capital",Topeka
4974,12086,state capitals,this capital lies in the eagle valley about 30 miles south of reno,Carson City
4975,12087,state capitals,tempe is a southern suburb of this state capital,Phoenix
4976,12088,state capitals,a statue of ethan allen stands within the portico of the state capitol building in this city,Montpelier
4977,12174,islands,this u.s. commonwealth lies about 70 miles across the mona passage from the dominican republic,Puerto Rico
4978,12175,islands,russia's wrangel island & canada's prince patrick island lie in this ocean,the Arctic (Ocean)
4979,12176,islands,a chain of shoals known as adam's bridge stretches between india & this island nation,Sri Lanka
4980,12177,islands,this large island's 2 highest peaks lie in the maoke mountains on the indonesian side,New Guinea
4981,12178,islands,this large italian island in the mediterranean lies just 7 miles south of corsica,Sardinia
4982,12207,mountains,"the hoosac mountains are a range of these ""colorful"" mountains located in vermont",the Green Mountains
4983,12208,mountains,"the waianae mountains in this u.s. state rise up to 4,025-foot mt. kaala",Hawaii
4984,12209,mountains,the caucusus mountains of eastern europe are predominantly found in this large country,Russia
4985,12210,mountains,"geological evidence shows that this 5,000-mile mountain chain may extend south into antarctica",the Andes
4986,12260,bodies of water,lake nasser was formed in 1968 when the waters of this river were blocked by the aswan high dam,the Nile River
4987,12261,bodies of water,"banks of pearl-producing mollusks are found around bahrain, on the arabian shore of this gulf",the Persian Gulf
4988,12262,bodies of water,"toyama, wakasa & ishikari bays are arms of this sea",the Sea of Japan
4989,12263,bodies of water,"3 important cities on this sea include stockholm, gdansk & klaipeda, lithuania",the Baltic Sea
4990,12264,bodies of water,this large siberian lake is more than a mile deep at its deepest point,Lake Baikal
4991,12412,landmarks,"some of its pieces, which weighed up to 50 tons, were quarried at marlborough downs, about 20 miles away",Stonehenge
4992,130,state mottoes,"ohio: ""with god, all things are"" this",possible
4993,131,state mottoes,"north dakota: ""liberty and union, now and forever, one and"" this",inseparable
4994,132,state mottoes,"virginia: ""sic semper"" this",tyrannis
4995,133,state mottoes,"wyoming: ""equal"" these",rights
4996,134,state mottoes,"nebraska: ""equality before the"" this",law
4997,252,rivers,"its upper part runs clear; it clouds up near great falls, montana & gets muddier from there",Missouri
4998,253,rivers,it's fed by the hasbani river in lebanon & by the baniyas in syria,the Jordan
4999,254,rivers,ge acknowledges that in the 20th century it dumped pcbs into this river around troy,the Hudson River
5000,255,rivers,3-letter name of the british river on which oxford's rival university is located,the Cam River
5001,256,rivers,"candido rondon found the river of doubt, now the rio roosevelt, which flows in this country's amazonas state",Brazil
5002,658,countries by newspaper,"el sol de tehuacan, the acapulco times",Mexico
5003,659,countries by newspaper,"the brunswickan, the edmonton examiner",Canada
5004,660,countries by newspaper,"the daily punjab, the balochistan post",Pakistan
5005,661,countries by newspaper,"the cape times, the volksblad",South Africa
5006,662,countries by newspaper,"haaretz, yedioth ahronoth",Israel
5007,700,archipelagos,sitka is the largest city in this state's alexander archipelago,Alaska
5008,701,archipelagos,in 1965 the cook islands became self-governing in free association with this country that provides for their defense,New Zealand
5009,702,archipelagos,this scottish archipelago is famous not only for its ponies but also for a breed of dog,the Shetlands
5010,703,archipelagos,"this pacific island country is named for a british sea captain, not ""happy days"" producer garry",Marshall Islands
5011,704,archipelagos,this portuguese archipelago once served as a stop for the treasure galleons returning to spain from america,the Azores
5012,711,museums,"the great men of france circa 1780 are immortalized in the ""grands hommes"" gallery of this museum",the Louvre
5013,712,museums,nyc's moma is the museum of modern art; l.a.'s moca is the museum of this type of art,Museum of Contemporary Art
5014,713,museums,"works by titian, raphael & others, sold by the ussr to andrew mellon, became the core of this d.c. museum",The National Gallery of Art
5015,714,museums,"the atheneum in hartford, conn. bears the name of this founder, no relation to longfellow",Daniel Wadsworth
5016,750,state borders,"of ""the four corners states"", this is the southwestern one",Arizona
5017,751,state borders,you probably know what's on north dakota's southern border; on its western border is this state,Montana
5018,752,state borders,delaware's southern border is with this state,Maryland
5019,753,state borders,you'll find these 2 states on colorado's eastern border,Kansas and Nebraska
5020,754,state borders,it's the number of states that border the gulf of mexico,"5 (Texas, Louisiana, Alabama, Mississippi & Florida)"
5021,964,islands,"in 2003 emily rose christian became the first baby born on this island in 17 years, bringing the population to nearly 50",Pitcairn Island
5022,1106,bodies of water,"although it was discovered in 1610, this canadian bay's west coast wasn't mapped until about 210 years later",Hudson Bay
5023,1107,bodies of water,this british river that flows through london is also known as the isis as it flows through oxford,the Thames
5024,1108,bodies of water,"tidal ranges in this ocean vary from 38 feet to 2 feet just south of perth, western australia",the Indian Ocean
5025,1109,bodies of water,"this river flows about 1,150 miles from lake hazar in turkey through baghdad, on its way to the persian gulf",the Tigris
5026,1110,bodies of water,this largest lake in the swiss alps is actually a wide spot in the rhone river,Lake Geneva
5027,1166,where words come from,chinese or malay: this tomato condiment that's put on french fries,ketchup
5028,1167,where words come from,latin: this device you open when it's precipitating,an umbrella
5029,1242,state capitals,the old barracks in this new jersey capital housed continental army troops during the revolution,Trenton
5030,1243,state capitals,the site for this capital was chosen because of its location between pensacola & st. augustine,Tallahassee
5031,1244,state capitals,in 1849 it replaced new orleans as a state capital,Baton Rouge
5032,1245,state capitals,"at an elevation of about 7,000 feet, this city in new mexico's sangre de cristo mountains is the highest state capital",Santa Fe
5033,1246,state capitals,"one of the 2 state capitals with ""city"" in their names that lie west of the rocky mountains","Salt Lake City, Utah & Carson City, Nevada"
5034,2075,state your name,this pennsylvania-born quarterback is the nfl's only 3-time super bowl mvp,Joe Montana
5035,2076,state your name,a chef at delmonico's in new york named this dessert in honor of a big purchase the u.s. made from russia,Baked Alaska
5036,2077,state your name,the university of iowa gave this future 2-time pulitzer prize-winning playwright a b.a. in 1938,Tennessee Williams
5037,2078,state your name,a museum in new mexico is devoted to this artist famous for bleak landscapes & cow skulls,Georgia O'Keeffe
5038,2079,state your name,"jessica biel found a ""7th heaven"" in california & found a hell in the remake of this 1974 tobe hooper classic",The Texas Chainsaw Massacre
5039,2350,states by counties,"guadalupe, hidalgo, taos",New Mexico
5040,2351,states by counties,"brevard, manatee, citrus",Florida
5041,2352,states by counties,"coffey, bourbon, archinson",Kansas
5042,2353,states by counties,"queen anne's, saint mary's, anne arundel",Maryland
5043,2354,states by counties,"columbia, ferry, san juan",Washington
5044,2603,islands,"this ""colossal"" island is the largest in greece's dodecanese archipelago",Rhodes
5045,2604,islands,this group of islands off the northern coast of france was the only british soil occupied by the germans in wwii,the Channel Islands
5046,2605,islands,"this island nation's highest peak, yu shan, in the chungyang range, is also called mount morrison",Taiwan
5047,2606,islands,a causeway connects this persian gulf nation with the saudi arabian mainland,Bahrain
5048,2607,islands,"one of france's 26 regions, it doesn't count as an overseas one though it's 100 miles across the mediterranean",Corsica
5049,2618,national parks,"this ""huge"" kentucky park is home to eyeless fish--don't need to see in the dark",Mammoth Cave
5050,2619,national parks,"other parks are ""green"" with envy that this one in colorado has some of the usa's best-preserved cliff dwellings",Mesa Verde
5051,2620,national parks,this national park on maine's rugged coast was the first one east of the mississippi,Acadia National Park
5052,2797,states & territories of australia,an australian territorial claim covers 42% of this continent,Antarctica
5053,2798,states & territories of australia,95% of the population of the small enclave known as the australian capital territory resides in this city,Canberra
5054,2799,states & territories of australia,"australia's most populous city, sydney, is in this state with a 3-word name",New South Wales
5055,2800,states & territories of australia,one of the 2 states named in honor of a woman,Victoria (or Queensland)
5056,2801,states & territories of australia,the one state named for a man,Tasmania
5057,3158,states of the union,part of this big state crosses the 180th meridian of longitude,Alaska
5058,3159,states of the union,"with a population of about 120,000, columbia is this state's most populous city",South Carolina
5059,3160,states of the union,"these 2 states have the shortest coasts on the gulf of mexico, only about 50 miles apiece",Alabama & Mississippi
5060,3161,states of the union,"this state has the highest average altitude of any state east of the mississippi; must be pretty ""mountainous\""",West Virginia
5061,3162,states of the union,tears were shed when the teddy bear museum in naples in this state closed its doors forever in 2005,Florida
5062,3484,"where is that, comrade?","though frozen up to 6 months of each year, the ob river is an important trade route in this cold, vast region",Siberia
5063,3485,"where is that, comrade?","russia has long coastlines on the kara & laptev seas, arms of this body of water",the Arctic Ocean
5064,3486,"where is that, comrade?","russia's lowest point, 92 feet below sea level, is along the shore of this large ""sea\""",the Caspian
5065,3487,"where is that, comrade?","these 2 russian federal cities have ""special region"" status",Moscow & St. Petersburg
5066,3488,"where is that, comrade?","the highest peak in russia, 18,510-foot mount elbrus is found in these mountains",the Caucasus
5067,3526,landmarks,"the landmark site known to the lakota as ""6 grandfathers"" was renamed this after a prominent lawyer",Mt. Rushmore
5068,3731,countries' largest islands,marajo in the amazon river,Brazil
5069,3732,countries' largest islands,baffin island,Canada
5070,3733,countries' largest islands,majorca,Spain
5071,3734,countries' largest islands,sakhalin,Russia
5072,3735,countries' largest islands,isla isabela in the galapagos,Ecuador
5073,3855,islands,in 1866 this large island became politically united with british columbia,Vancouver
5074,3856,islands,"though ceded in 1898, this pacific island didn't become a u.s. territory until 1950",Guam
5075,3857,islands,"until the 1950s, this island off french guiana was used as a penal colony",Devil's Island
5076,3858,islands,"divided between 2 countries, it's the largest island in the pacific",New Guinea
5077,4042,state your case,"woodbury, middlebury & waterbury are all cities in this state",Connecticut
5078,4043,state your case,"one of this state's nicknames is ""lobsterland\""",Maine
5079,4044,state your case,former governors of this state include pierre s. du pont iv,Delaware
5080,4045,state your case,"this state elected jeannette rankin as the first woman to the u.s. congress, & she represents it in statuary hall",Montana
5081,4451,country cookbooks,"\""fit for a king"" is full of his favorite recipes, including the chicken served at his wedding to priscilla",Elvis
5082,4452,country cookbooks,"this daughter of maybelle carter honored her mom by wrting ""mother maybelle's cookbook\""",June Carter (Cash)
5083,4453,country cookbooks,"you'll find goober's banana pudding in this mayberry auntie's book of ""delightful desserts\""",Aunt Bee
5084,4454,country cookbooks,"\""the little house cookbook"" features frontier foods from this woman's classic stories",(Laura Ingalls) Wilder
5085,4455,country cookbooks,"there's a recipe for butcher holler possum in ""you're cookin' it country"" by this country music queen",Loretta Lynn
5086,4773,state the governor,in 2007 charlie crist took over for jeb bush in this state,Florida
5087,4774,state the governor,"\""money doesn't make you happy. i now have $50 mil. but i was just as happy when i had $48 mil."", said the gov. of this state",California
5088,4775,state the governor,"on august 26, 2005 this state's kathleen blanco declared a state of emergency",Louisiana
5089,4776,state the governor,in 2007 this state's jon corzine broke several bones in a car crash--he wasn't buckled in,New Jersey
5090,4777,state the governor,in 2006 deval patrick was elected this state's first african-american governor,Massachusetts
5091,4909,state flags,the elk & moose on this peninsular state's flag seem unperturbed by the man with the gun standing between them,Michigan
5092,4949,countries of the world,this nation covers more than 6.5 million square miles in area,Russia
5093,4950,countries of the world,"during wwii moshe dayan served with the brits, fighting to liberate syria & this country from the vichy french",Lebanon
5094,4951,countries of the world,"on june 1, 1976 the united kingdom & this atlantic island nation agreed to end the ""cod war\""",Iceland
5095,4952,countries of the world,oran & annaba are important cities in this north african nation,Algeria
5096,4953,countries of the world,you'll need some dongs to have fun in this southeast asian country where it's the national currency,Vietnam
5097,5195,where in the world is san diego?,"san diego stays classy with its old globe theatre, built in 1935 to present abridged versions of his plays",William Shakespeare
5098,5196,where in the world is san diego?,"check out the ""dolphin discovery"" & ""sea lions tonite"" shows at this san diego attraction",Sea World
5099,5197,where in the world is san diego?,"the san diego stadium now named for this telecom company is known as ""the q\""",Qualcomm
5100,5198,where in the world is san diego?,this venue opened in 1989 crawls with sandmen & doctor whos as the home of the annual comic-con,the convention center
5101,5199,where in the world is san diego?,"in presidio park, a museum named for this franciscan missionary has exhibits on early san diego history",Junípero Serra
5102,5225,where in the world is diego garcia?,"important strategically, the small island of diego garcia is found in this ocean",the Indian Ocean
5103,5226,where in the world is diego garcia?,diego garcia was critically important as a refueling base during this jan. 1991 military operation,Operation Desert Storm
5104,5227,where in the world is diego garcia?,diego garcia is named for a man from this nation who explored the region in the 1500s,Portugal
5105,5228,where in the world is diego garcia?,"made from coral reefs and sand, diego garcia is one of these ring-shaped islands surrounding a lagoon",an atoll
5106,5229,where in the world is diego garcia?,diego garcia is about equidistant from mauritius & this island country off the southern coast of india,Sri Lanka
5107,5286,countries' highest points,mount kosciusko in new south wales,Australia
5108,5287,countries' highest points,pico de teide in the canary islands,Spain
5109,5288,countries' highest points,mount kilimanjaro,Tanzania
5110,5289,countries' highest points,phnom aural,Cambodia
5111,5290,countries' highest points,"in central america, doyle's delight (not victoria peak, as was thought)",Belize
5112,5427,country of birth,author hans christian andersen,Denmark
5113,5428,country of birth,philosopher soren kierkegaard,Denmark
5114,5429,country of birth,pianist/entertainer victor borge,Denmark
5115,5430,country of birth,actress greta garbo,Sweden
5116,5431,country of birth,dancer peter martins,Denmark
5117,5572,canals,vessels pass under the bridge of the americas as they enter or leave this canal,the Panama Canal
5118,5573,canals,in 1986 the canal named for this woman began providing irrigation to the great indian desert,Indira Gandhi
5119,5574,canals,france's historic canal du midi & the garonne river connect the mediterranean with this bay on the atlantic,the Bay of Biscay
5120,5575,canals,"1/3 of scotland's caledonian canal is manmade; the rest consists of 3 connected lakes: loch lochy, loch oich & this one",Loch Ness
5121,5576,canals,"this european capital's 4 main city center canals are prinsengracht, herengracht, keizersgracht & singel",Amsterdam
5122,6004,capital idea,"long before it was a capital, this city on the thames river was a communications center",London
5123,6005,capital idea,"though kyoto remained the imperial capital, tokugawa ieyasu made this obscure village his capital",Tokyo
5124,6006,capital idea,"a small village sacked by mongol as well as afghan invaders, it later became the largest persian city",Tehran
5125,6007,capital idea,this capital was created because rio de janeiro was overcrowded & isolated from the rest of the country,Brasilia
5126,6008,capital idea,"one of the oldest continuously inhabited cities, it became a capital in 1946 when syria gained independence",Damascus
5127,6142,where art thou?,"the artist brassai is famous for photos of this european ""city of light"" at night",Paris
5128,6143,where art thou?,"van gogh learned to paint with oils while staying at the hague in this country, his native land",the Netherlands
5129,6144,where art thou?,the woodcut prints called ukiyo-e of this asian country influenced monet & other impressionists,Japan
5130,6145,where art thou?,this man was hired by the duke of milan because he could design cannons & war machines for the city,Leonardo da Vinci
5131,6172,state nicknames,"\""the beaver state\""",Oregon
5132,6173,state nicknames,"\""the razorback state\""",Arkansas
5133,6174,state nicknames,"\""the tar heel state\""",North Carolina
5134,6175,state nicknames,"\""the gopher state\""",Minnesota
5135,6176,state nicknames,"\""the pine tree state\""",Maine
5136,6229,bodies of water,iowa's lowest point is a the junction of the des moines river & this river that forms iowa's eastern border,the Mississippi River
5137,6230,bodies of water,the orinoco begins in venezuela's state that's named for this other river,the Amazon
5138,6231,bodies of water,"this large african lake has several large gulfs, including speke & emin pasha",Lake Victoria
5139,6232,bodies of water,"seattle, tacoma & olympia all stand on the banks of this body of water",Puget Sound
5140,6233,bodies of water,"this 1,450-mile-long river is joined in utah by the green & san juan rivers",the Colorado River
5141,6320,state capitals,"one of the two state capitals whose names end with the greek word for ""city\""",(1 of) Annapolis or Indianapolis
5142,6727,state license plates,this state first put an orange on its plates in 1997; today it features 2 oranges,Florida
5143,6728,state license plates,"in 1998 this midwest state began issuing its plates with the slogan ""birthplace of aviation\""",Ohio
5144,6729,state license plates,this state tree/flower lies smack dab in the center of mississippi's license plates,the magnolia
5145,6730,state license plates,"the space shuttle, a cowboy on horseback & oil wells are among the features on its state license plates",Texas
5146,6731,state license plates,it's the species of cactus appearing on arizona's state license plate,the saguaro
5147,6752,"where ya from, terpsichorean?",rudolf nureyev,the Soviet Union
5148,6753,"where ya from, terpsichorean?",margot fonteyn,England (Great Britain)
5149,6754,"where ya from, terpsichorean?",uday shankar,India
5150,6755,"where ya from, terpsichorean?",carla fracci,Italy
5151,6756,"where ya from, terpsichorean?",angel corella,Spain
5152,6992,country time,"in 2007, the 100th anniversary of the founding of boy scouting was celebrated in this country where it began",England
5153,6993,country time,"the world's longest oil pipeline runs 2,500 miles from samara in this country to mozyr in belarus",Russia
5154,6994,country time,stanley kowalski might yell out for a stella artois beer from this country,Belgium
5155,6995,country time,daegu polytechnic college & the catholic university of pusan are 2 colleges in this country,South Korea
5156,6996,country time,"until the mid-20th century, indonesia was known as this country's ""east indies\""",the Netherlands
5157,7135,state the state,"to tip your coonskin cap at daniel boone's grave, you'll have to travel to a cemetery in this state",Kentucky
5158,7136,state the state,"2 of the 4 states whose borders meet up at the ""four corners"" monument",(2 of) Colorado & New Mexico (or  Arizona & Utah)
5159,7137,state the state,in 1972 barbara jordan was elected to congress from this state,Texas
5160,7138,state the state,"on may 17, 2004 this eastern state became the first to issue marriage licenses to same-sex couples",Massachusetts
5161,7139,state the state,"roger sherman, a signer of the declaration of independence, represented this state at the constitutional convention in 1787",Connecticut
5162,7250,"countries that end in ""o\""",this nation has been ruled by the grimaldi royal family since the 14th century,Monaco
5163,7251,"countries that end in ""o\""",this former yugoslavian republic broke away from serbia in 2006,Montenegro
5164,7252,"countries that end in ""o\""","the largest country in area that ends in ""o"", it has a population of about 66 million",the Congo
5165,7253,"countries that end in ""o\""",open an atlas & discover that the atlas mountains traverse the length of this country,Morocco
5166,7254,"countries that end in ""o\""",this small country is about 1/20th the size of nyc & its primary language is italian,San Marino
5167,7605,countries of the world,"bogota, bolivar & boyaca are political divisions of this country",Colombia
5168,7606,countries of the world,in 2005 prince bandar ended 22 years as this country's ambassador to the u.s.,Saudi Arabia
5169,7607,countries of the world,"if i'm on the hummingbird highway headed for belmopan, i'm in this central american country",Belize
5170,7608,countries of the world,"yerevan, the capital of this republic, lies about 35 miles from mount ararat",Armenia
5171,7675,where'd ya go to school?,pierre curie: this division of the university of paris,the Sorbonne
5172,7676,where'd ya go to school?,john f. kennedy jr.: this providence campus,Brown
5173,7677,where'd ya go to school?,antonin scalia & basketball great patrick ewing: this jesuit school,Georgetown
5174,7678,where'd ya go to school?,dick cheney (bachelor's & master's): the university of this state,Wyoming
5175,7679,where'd ya go to school?,isaac newton & lord byron: this cambridge university college,Trinity
5176,8156,state mottoes,"montana: ""oro y plata"",  translated as  ""gold and"" this",silver
5177,8157,state mottoes,"missouri: ""salus populi suprema lex esto""--""the welfare of the people shall be the supreme"" this",law
5178,8158,state mottoes,"colorado: ""nil sine numine"", translated as this ""without providence\""",Nothing
5179,8159,state mottoes,"oregon: ""alis volat propriis"", or ""she flies with her own"" these",wings
5180,8160,state mottoes,"kansas: ""ad astra per aspera""--""to"" these ""through difficulties\""",the stars
5181,8178,islands,its name was originally an arawak indian word spelled x-a-y-m-a-c-a,Jamaica
5182,8179,islands,the few people who live on this island partner of antigua keep busy lobster fishing,Barbuda
5183,8368,mountain ranges,"the name of this range may be a corruption of a 1700s french trading post spelled ""a-u-x a-r-c\""",the Ozarks
5184,8369,mountain ranges,this mountain range is the 2nd-longest in north america,the Appalachians
5185,8370,mountain ranges,"the tasman & hooker glaciers radiate from mt. cook, the highest mountain of the southern alps in this country",New Zealand
5186,8371,mountain ranges,the first survey of this russian mountain range wasn't undertaken until the 18th century,the Urals
5187,8372,mountain ranges,"this mountain range is divided into 3 regions, the atlantic, the central & the mediterranean",the Pyrenees
5188,8424,state flags,it's the only state flag with a picture of a president on it; the same portrait is on the state's seal,Washington
5189,8425,state flags,"this state's flag includes the motto ""forward"" & a shield that might be described as a cheesy shade of yellow",Wisconsin
5190,8426,state flags,a defeated tyrant's fallen crown lies near him on the flag of this southern state,Virginia
5191,8460,landmarks,"towers built in & along the walls of this fortress include beklemishev, peter & tsar",the Kremlin
5192,8461,landmarks,"erected in the black canyon of the colorado river, its power plant can supply 4 billion kilowatt-hours a year",Hoover Dam
5193,8462,landmarks,penny coins are added or taken away from this london landmark's pendulum to fine-tune its accuracy,Big Ben
5194,8463,landmarks,this city's church of the holy sepulchre was built in the 4th c. by the emperor constantine,Jerusalem
5195,8464,landmarks,danish architect jorn utzon won a 1950s competition sponsored by the new south wales government for the design of this,the Sydney Opera Theater
5196,8646,state lakes,halalii lake,Hawaii
5197,8647,state lakes,lake tahoe (2 states),California & Nevada
5198,8648,state lakes,coeur d'alene lake,Idaho
5199,8649,state lakes,lake kissimmee,Florida
5200,8650,state lakes,chickamauga lake,Tennessee
5201,8889,bodies of water,it's the sea just southeast of the gulf of mexico,the Caribbean Sea
5202,8890,bodies of water,it's the only great lake entirely within the u.s.,Lake Michigan
5203,8891,bodies of water,"india, bangladesh & burma border this bay of the indian ocean",the Bay of Bengal
5204,8892,bodies of water,"most of the greek isles are in this sea, an arm of the mediterranean",the Aegean Sea
5205,8893,bodies of water,"this eurasian ""sea"" is actually the world's largest lake",the Caspian Sea
5206,8899,state capitals,"this plains state capital of only 14,000 people is the only u.s. capital with no letters of its state in its name","Pierre, South Dakota"
5207,8925,mountains,this country's mount kosciusko lies in the snowy mountains,Australia
5208,8926,mountains,the notre dame mountains aren't in indiana; they lie south of the st. lawrence river in this province,Quebec
5209,8927,mountains,"africa's highest peak, mt. kilimanjaro, is in this country",Tanzania
